b,T,B_eff,B_over_kT,error_rate,crossing_rate,mean_drift,event_cost,flux_cost,maintain_cost,is_flux_driven
0.8181818181818181,2.011111111111111,0.16735537,0.083215386,0.1253256,0.0176936,0.5447945250943304,0.020973913,1.0956423226897087,1.0956423226897087,True
0.8181818181818181,2.2555555555555555,0.16735537,0.074196965,0.1332392,0.0189528,0.5636902198046446,0.022298295,1.2714346068926985,1.2714346068926985,True
0.8181818181818181,2.5,0.16735537,0.06694215,0.1477768,0.0194168,0.5940246968865395,0.024731241,1.4850617422163488,1.4850617422163488,True
1.1363636363636362,0.3,0.32283056,1.0761018,0.002424,0.0016184,0.19501351545006038,0.0007825413,0.05850405463501811,0.05850405463501811,True
1.1363636363636362,0.5444444444444445,0.32283056,0.5929541,0.0136712,0.0046736,0.27467023504152893,0.004413481,0.14954268352261021,0.14954268352261021,True
1.1363636363636362,0.788888888888889,0.32283056,0.40922186,0.0323168,0.0072368,0.3445190279372036,0.010432851,0.27178723315046066,0.27178723315046066,True
1.1363636363636362,1.0333333333333334,0.32283056,0.31241667,0.044144,0.0095544,0.3875836142227054,0.014251033,0.4005030680301289,0.4005030680301289,True
1.1363636363636362,1.277777777777778,0.32283056,0.25265,0.0634944,0.0108736,0.435718526981771,0.020497933,0.5567514511433741,0.5567514511433741,True
1.1363636363636362,1.5222222222222224,0.32283056,0.21207845,0.0721056,0.0124048,0.46421690806746485,0.023277892,0.7066412933915854,0.7066412933915854,True
1.1363636363636362,1.7666666666666668,0.32283056,0.1827343,0.0921368,0.0144336,0.5092861702293158,0.029744575,0.899738900738458,0.899738900738458,True
1.1363636363636362,2.011111111111111,0.32283056,0.16052349,0.1039616,0.0145144,0.5325379910990595,0.033561982,1.0709930709881086,1.0709930709881086,True
1.1363636363636362,2.2555555555555555,0.32283056,0.14312685,0.1150312,0.0161448,0.5624229568988085,0.037135586,1.2685762250050903,1.2685762250050903,True
1.1363636363636362,2.5,0.32283056,0.12913223,0.1293152,0.0171848,0.5927293105274439,0.041746896,1.4818232763186099,1.4818232763186099,True
1.4545454545454546,0.3,0.52892566,1.7630855,0.0009352,0.0006696,0.18000869397073985,0.00049465126,0.054002608191221955,0.054002608191221955,True
1.4545454545454546,0.5444444444444445,0.52892566,0.97149616,0.0097968,0.0027392,0.25655020033195614,0.005181779,0.1396773312918428,0.1396773312918428,True
1.4545454545454546,0.788888888888889,0.52892566,0.67046916,0.0218456,0.004816,0.31828864493221043,0.011554698,0.2510943754465216,0.2510943754465216,True
1.4545454545454546,1.0333333333333334,0.52892566,0.5118635,0.036468,0.006744,0.37314519922435285,0.01928886,0.38558337253183134,0.38558337253183134,True
1.4545454545454546,1.277777777777778,0.52892566,0.4139418,0.0513168,0.0087712,0.4192300681173801,0.027142772,0.5356828648166524,0.5356828648166524,True
1.4545454545454546,1.5222222222222224,0.52892566,0.3474694,0.0636728,0.010092,0.4590192848816514,0.033678178,0.6987293558754027,0.6987293558754027,True
1.4545454545454546,1.7666666666666668,0.52892566,0.2993919,0.0917672,0.0119,0.5215287766754627,0.048538025,0.9213675054599842,0.9213675054599842,True
1.4545454545454546,2.011111111111111,0.52892566,0.2630017,0.0947288,0.013248,0.5385852749571204,0.05010449,1.0831548307470977,1.0831548307470977,True
1.4545454545454546,2.2555555555555555,0.52892566,0.23449905,0.1038792,0.0137976,0.5611337776258588,0.054944374,1.2656684095338815,1.2656684095338815,True
1.4545454545454546,2.5,0.52892566,0.21157026,0.114144,0.014404,0.5822669550925493,0.06037369,1.4556673877313733,1.4556673877313733,True
1.7727272727272727,0.3,0.7856405,2.6188016,0.0004064,0.0002816,0.16559859992191195,0.0003192843,0.04967957997657358,0.04967957997657358,True
1.7727272727272727,0.5444444444444445,0.7856405,1.4430132,0.0048584,0.0018712,0.23741416235640644,0.003816956,0.12925882172737685,0.12925882172737685,True
1.7727272727272727,0.788888888888889,0.7856405,0.99588233,0.0145648,0.0036904,0.30141404294222596,0.011442697,0.2377821894322005,0.2377821894322005,True
1.7727272727272727,1.0333333333333334,0.7856405,0.76029724,0.0263272,0.0053136,0.35392215722054243,0.020683713,0.3657195624612272,0.3657195624612272,True
1.7727272727272727,1.277777777777778,0.7856405,0.6148491,0.041304,0.0071312,0.4074978832378984,0.032450095,0.5206917396928702,0.5206917396928702,True
1.7727272727272727,1.5222222222222224,0.7856405,0.5161142,0.054792,0.0086264,0.4507633441239595,0.043046813,0.686161979388694,0.686161979388694,True
1.7727272727272727,1.7666666666666668,0.7856405,0.44470218,0.0673488,0.0099464,0.48845321393013,0.052911945,0.8629340112765631,0.8629340112765631,True
1.7727272727272727,2.011111111111111,0.7856405,0.39064997,0.0801264,0.0107872,0.5209869372993707,0.062950544,1.0477626183465123,1.0477626183465123,True
1.7727272727272727,2.2555555555555555,0.7856405,0.3483135,0.092316,0.0114824,0.552777551099658,0.072527185,1.2468204763692285,1.2468204763692285,True
1.7727272727272727,2.5,0.7856405,0.3142562,0.1096632,0.0131208,0.5984598139747977,0.086155854,1.4961495349369944,1.4961495349369944,True
2.090909090909091,0.3,1.0929751,3.6432505,0.0002808,8e-05,0.14926142737641931,0.00030690743,0.04477842821292579,0.04477842821292579,True
2.090909090909091,0.5444444444444445,1.0929751,2.0075054,0.0020744,0.000892,0.218650792170316,0.0022672676,0.11904320907050539,0.11904320907050539,True
2.090909090909091,0.788888888888889,1.0929751,1.3854614,0.0098872,0.0023504,0.2766571844443679,0.010806464,0.2182517788394458,0.2182517788394458,True
2.090909090909091,1.0333333333333334,1.0929751,1.0577179,0.0192216,0.0037824,0.3277861684039235,0.021008732,0.33871237401738763,0.33871237401738763,True
2.090909090909091,1.277777777777778,1.0929751,0.85537183,0.03696,0.00514,0.39207881766557695,0.04039636,0.5009896003504595,0.5009896003504595,True
2.090909090909091,1.5222222222222224,1.0929751,0.7180128,0.0489392,0.0063016,0.4314182450324297,0.053489327,0.6567144396604764,0.6567144396604764,True
2.090909090909091,1.7666666666666668,1.0929751,0.6186652,0.0560104,0.0080256,0.46857537066191435,0.061217975,0.8278164881693821,0.8278164881693821,True
2.090909090909091,2.011111111111111,1.0929751,0.54346836,0.0686136,0.009252,0.5065234596431255,0.07499296,1.0186749577267302,1.0186749577267302,True
